entity_text,entity_label,source_url
the UN Environment Programme,ORG,https://www.un.org/en/global-issues/climate-change
2015,DATE,https://www.un.org/en/global-issues/climate-change
2030,DATE,https://www.un.org/en/global-issues/climate-change
2030,DATE,https://www.un.org/en/global-issues/climate-change
2030,DATE,https://www.un.org/en/global-issues/climate-change
The UN Intergovernmental Panel on Climate Change,ORG,https://www.un.org/en/global-issues/climate-change
IPCC,ORG,https://www.un.org/en/global-issues/climate-change
The Intergovernmental Panel on Climate Change,ORG,https://www.un.org/en/global-issues/climate-change
IPCC,ORG,https://www.un.org/en/global-issues/climate-change
the World Meteorological Organization,ORG,https://www.un.org/en/global-issues/climate-change
WMO,ORG,https://www.un.org/en/global-issues/climate-change
United Nations Environment,ORG,https://www.un.org/en/global-issues/climate-change
IPCC,ORG,https://www.un.org/en/global-issues/climate-change
IPCC,ORG,https://www.un.org/en/global-issues/climate-change
IPCC,ORG,https://www.un.org/en/global-issues/climate-change
October 2018,DATE,https://www.un.org/en/global-issues/climate-change
IPCC,ORG,https://www.un.org/en/global-issues/climate-change
2100,DATE,https://www.un.org/en/global-issues/climate-change
2010,DATE,https://www.un.org/en/global-issues/climate-change
2030,DATE,https://www.un.org/en/global-issues/climate-change
2050,DATE,https://www.un.org/en/global-issues/climate-change
United Nations,ORG,https://www.un.org/en/global-issues/climate-change
United Nations Framework Convention on Climate Change,ORG,https://www.un.org/en/global-issues/climate-change
UN,ORG,https://www.un.org/en/global-issues/climate-change
1992,DATE,https://www.un.org/en/global-issues/climate-change
1995,DATE,https://www.un.org/en/global-issues/climate-change
2008,DATE,https://www.un.org/en/global-issues/climate-change
2012,DATE,https://www.un.org/en/global-issues/climate-change
1 January 2013,DATE,https://www.un.org/en/global-issues/climate-change
2020,DATE,https://www.un.org/en/global-issues/climate-change
Conference of the Parties,ORG,https://www.un.org/en/global-issues/climate-change
Paris,GPE,https://www.un.org/en/global-issues/climate-change
2015,DATE,https://www.un.org/en/global-issues/climate-change
UNFCCC,ORG,https://www.un.org/en/global-issues/climate-change
22 April 2016,DATE,https://www.un.org/en/global-issues/climate-change
United Nations Headquarters,ORG,https://www.un.org/en/global-issues/climate-change
New York,GPE,https://www.un.org/en/global-issues/climate-change
2007,DATE,https://www.un.org/en/global-issues/climate-change
United States,GPE,https://www.un.org/en/global-issues/climate-change
Al Gore,PERSON,https://www.un.org/en/global-issues/climate-change
IPCC,ORG,https://www.un.org/en/global-issues/climate-change
2023,DATE,https://www.un.org/en/global-issues/climate-change
Intergovernmental Panel on Climate Change,ORG,https://science.nasa.gov/climate-change/effects/
the Intergovernmental Panel on Climate Change,ORG,https://science.nasa.gov/climate-change/effects/
IPCC,ORG,https://science.nasa.gov/climate-change/effects/
United Nations,GPE,https://science.nasa.gov/climate-change/effects/
IPCC,ORG,https://science.nasa.gov/climate-change/effects/
2021,DATE,https://science.nasa.gov/climate-change/effects/
1850-1900.1,DATE,https://science.nasa.gov/climate-change/effects/
Intergovernmental Panel on Climate Change,ORG,https://science.nasa.gov/climate-change/effects/
the United States,GPE,https://science.nasa.gov/climate-change/effects/
the United States,GPE,https://science.nasa.gov/climate-change/effects/
U.S.,GPE,https://science.nasa.gov/climate-change/effects/
2100,DATE,https://science.nasa.gov/climate-change/effects/
1880,DATE,https://science.nasa.gov/climate-change/effects/
2100,DATE,https://science.nasa.gov/climate-change/effects/
Khagani Hasanov,PERSON,https://science.nasa.gov/climate-change/effects/
NASA,ORG,https://science.nasa.gov/climate-change/effects/
NOAA,ORG,https://science.nasa.gov/climate-change/effects/
around 2050,DATE,https://science.nasa.gov/climate-change/effects/
the United States,GPE,https://science.nasa.gov/climate-change/effects/
United States,GPE,https://science.nasa.gov/climate-change/effects/
Marvin Nauman,PERSON,https://science.nasa.gov/climate-change/effects/
FEMA,ORG,https://science.nasa.gov/climate-change/effects/
United States,GPE,https://science.nasa.gov/climate-change/effects/
the United States,GPE,https://science.nasa.gov/climate-change/effects/
Summer of 2023,DATE,https://science.nasa.gov/climate-change/effects/
NASA,ORG,https://science.nasa.gov/climate-change/effects/
the average summer between 1951 and 1980,DATE,https://science.nasa.gov/climate-change/effects/
NASA,ORG,https://science.nasa.gov/climate-change/effects/
U.S.,GPE,https://science.nasa.gov/climate-change/effects/
National Climate Assessment Reports,ORG,https://science.nasa.gov/climate-change/effects/
the U.S. Global Change Research Program,ORG,https://science.nasa.gov/climate-change/effects/
2021,DATE,https://science.nasa.gov/climate-change/effects/
Cambridge University Press,ORG,https://science.nasa.gov/climate-change/effects/
Cambridge,GPE,https://science.nasa.gov/climate-change/effects/
UK,GPE,https://science.nasa.gov/climate-change/effects/
IPCC,ORG,https://science.nasa.gov/climate-change/effects/
2013,DATE,https://science.nasa.gov/climate-change/effects/
the Intergovernmental Panel on Climate Change,ORG,https://science.nasa.gov/climate-change/effects/
Stocker,PERSON,https://science.nasa.gov/climate-change/effects/
D. Qin,PERSON,https://science.nasa.gov/climate-change/effects/
G.-K. Plattner,PERSON,https://science.nasa.gov/climate-change/effects/
M. Tignor,PERSON,https://science.nasa.gov/climate-change/effects/
S.K. Allen,PERSON,https://science.nasa.gov/climate-change/effects/
J. Boschung,PERSON,https://science.nasa.gov/climate-change/effects/
A. Nauels,PERSON,https://science.nasa.gov/climate-change/effects/
Y. Xia,PERSON,https://science.nasa.gov/climate-change/effects/
V. Bex,PERSON,https://science.nasa.gov/climate-change/effects/
P.M. Midgley,PERSON,https://science.nasa.gov/climate-change/effects/
Cambridge University Press,ORG,https://science.nasa.gov/climate-change/effects/
Cambridge,GPE,https://science.nasa.gov/climate-change/effects/
United Kingdom,GPE,https://science.nasa.gov/climate-change/effects/
New York,GPE,https://science.nasa.gov/climate-change/effects/
NY,GPE,https://science.nasa.gov/climate-change/effects/
USA,GPE,https://science.nasa.gov/climate-change/effects/
2014,DATE,https://science.nasa.gov/climate-change/effects/
2017,DATE,https://science.nasa.gov/climate-change/effects/
the Intergovernmental Panel on Climate Change,ORG,https://climate.nasa.gov/evidence/
IPCC,ORG,https://climate.nasa.gov/evidence/
NASA,ORG,https://climate.nasa.gov/evidence/
Intergovernmental Panel on Climate Change,ORG,https://climate.nasa.gov/evidence/
2016,DATE,https://climate.nasa.gov/evidence/
2020,DATE,https://climate.nasa.gov/evidence/
Ashwin Kumar,PERSON,https://climate.nasa.gov/evidence/
Kelsey Roberts,PERSON,https://climate.nasa.gov/evidence/
USGS,ORG,https://climate.nasa.gov/evidence/
NASA,ORG,https://climate.nasa.gov/evidence/
Gravity Recovery and Climate Experiment,ORG,https://climate.nasa.gov/evidence/
between 1993 and 2019,DATE,https://climate.nasa.gov/evidence/
NASA,ORG,https://climate.nasa.gov/evidence/
Alaska,GPE,https://climate.nasa.gov/evidence/
Alaska,GPE,https://climate.nasa.gov/evidence/
NASA,ORG,https://climate.nasa.gov/evidence/
NASA,ORG,https://climate.nasa.gov/evidence/
JPL-Caltech,ORG,https://climate.nasa.gov/evidence/
U.S. Army Corps of Engineers,ORG,https://climate.nasa.gov/evidence/
NASA,ORG,https://climate.nasa.gov/evidence/
the United States,GPE,https://climate.nasa.gov/evidence/
1950,DATE,https://climate.nasa.gov/evidence/
U.S.,GPE,https://climate.nasa.gov/evidence/
Régine Fabri,PERSON,https://climate.nasa.gov/evidence/
Wikimedia Commons,ORG,https://climate.nasa.gov/evidence/
NOAA,ORG,https://climate.nasa.gov/evidence/
B.D. Santer et.al.,ORG,https://climate.nasa.gov/evidence/
04 July 1996,DATE,https://climate.nasa.gov/evidence/
Gabriele C. Hegerl,PERSON,https://climate.nasa.gov/evidence/
Journal of Climate,ORG,https://climate.nasa.gov/evidence/
October 1996,DATE,https://climate.nasa.gov/evidence/
V. Ramaswamy,PERSON,https://climate.nasa.gov/evidence/
24 February 2006,DATE,https://climate.nasa.gov/evidence/
B.D. Santer,PERSON,https://climate.nasa.gov/evidence/
Science,ORG,https://climate.nasa.gov/evidence/
25 July 2003,DATE,https://climate.nasa.gov/evidence/
Westerhold,PERSON,https://climate.nasa.gov/evidence/
Science,ORG,https://climate.nasa.gov/evidence/
11 Sept. 2020,DATE,https://climate.nasa.gov/evidence/
1824,DATE,https://climate.nasa.gov/evidence/
Joseph Fourier,PERSON,https://climate.nasa.gov/evidence/
1856,DATE,https://climate.nasa.gov/evidence/
Eunice Foote,PERSON,https://climate.nasa.gov/evidence/
John Tyndall,PERSON,https://climate.nasa.gov/evidence/
1896,DATE,https://climate.nasa.gov/evidence/
Svante Arrhenius,PERSON,https://climate.nasa.gov/evidence/
1938,DATE,https://climate.nasa.gov/evidence/
Guy Callendar,PERSON,https://climate.nasa.gov/evidence/
1941,DATE,https://climate.nasa.gov/evidence/
Milutin,ORG,https://climate.nasa.gov/evidence/
Gilbert Plass,PERSON,https://climate.nasa.gov/evidence/
1956,DATE,https://climate.nasa.gov/evidence/
IPCC,ORG,https://climate.nasa.gov/evidence/
NOAA,ORG,https://climate.nasa.gov/evidence/
Gaffney,PERSON,https://climate.nasa.gov/evidence/
W. Steffen,PERSON,https://climate.nasa.gov/evidence/
The Anthropocene Review 4,ORG,https://climate.nasa.gov/evidence/
April 2017,DATE,https://climate.nasa.gov/evidence/
S. Levitus,PERSON,https://climate.nasa.gov/evidence/
J. Antonov,PERSON,https://climate.nasa.gov/evidence/
T. Boyer,PERSON,https://climate.nasa.gov/evidence/
O Baranova,PERSON,https://climate.nasa.gov/evidence/
H. Garcia,PERSON,https://climate.nasa.gov/evidence/
R. Locarnini,PERSON,https://climate.nasa.gov/evidence/
A. Mishonov,PERSON,https://climate.nasa.gov/evidence/
J. Reagan,PERSON,https://climate.nasa.gov/evidence/
D. Seidov,PERSON,https://climate.nasa.gov/evidence/
E. Yarosh,PERSON,https://climate.nasa.gov/evidence/
M. Zweng,PERSON,https://climate.nasa.gov/evidence/
1955,DATE,https://climate.nasa.gov/evidence/
2017,DATE,https://climate.nasa.gov/evidence/
NOAA National Centers for Environmental Information,ORG,https://climate.nasa.gov/evidence/
K. von Schuckmann,PERSON,https://climate.nasa.gov/evidence/
L. Cheng,PERSON,https://climate.nasa.gov/evidence/
. D. Palmer,PERSON,https://climate.nasa.gov/evidence/
J. Hansen,PERSON,https://climate.nasa.gov/evidence/
C. Tassone,PERSON,https://climate.nasa.gov/evidence/
V. Aich,PERSON,https://climate.nasa.gov/evidence/
S. Adusumilli,PERSON,https://climate.nasa.gov/evidence/
H. Beltrami,PERSON,https://climate.nasa.gov/evidence/
T. Boyer,PERSON,https://climate.nasa.gov/evidence/
F. Cuesta-Valero,PERSON,https://climate.nasa.gov/evidence/
D. Desbruyeres,PERSON,https://climate.nasa.gov/evidence/
C. Domingues,PERSON,https://climate.nasa.gov/evidence/
A. Garcia-Garcia,PERSON,https://climate.nasa.gov/evidence/
P. Gentine,PERSON,https://climate.nasa.gov/evidence/
J. Gilson,PERSON,https://climate.nasa.gov/evidence/
M. Gorfer,PERSON,https://climate.nasa.gov/evidence/
L. Haimberger,PERSON,https://climate.nasa.gov/evidence/
M. Ishii,PERSON,https://climate.nasa.gov/evidence/
M.,PERSON,https://climate.nasa.gov/evidence/
G. Johnson,PERSON,https://climate.nasa.gov/evidence/
R. Killick,PERSON,https://climate.nasa.gov/evidence/
B. King,PERSON,https://climate.nasa.gov/evidence/
G. Kirchengast,PERSON,https://climate.nasa.gov/evidence/
N. Kolodziejczyk,PERSON,https://climate.nasa.gov/evidence/
J. Lyman,PERSON,https://climate.nasa.gov/evidence/
B. Marzeion,PERSON,https://climate.nasa.gov/evidence/
M. Mayer,PERSON,https://climate.nasa.gov/evidence/
M. Monier,PERSON,https://climate.nasa.gov/evidence/
D. Monselesan,PERSON,https://climate.nasa.gov/evidence/
S. Purkey,PERSON,https://climate.nasa.gov/evidence/
D. Roemmich,PERSON,https://climate.nasa.gov/evidence/
A. Schweiger,PERSON,https://climate.nasa.gov/evidence/
S. Seneviratne,PERSON,https://climate.nasa.gov/evidence/
A. Shepherd,PERSON,https://climate.nasa.gov/evidence/
D. Slater,PERSON,https://climate.nasa.gov/evidence/
A. Steiner,PERSON,https://climate.nasa.gov/evidence/
F. Straneo,PERSON,https://climate.nasa.gov/evidence/
M.L. Timmermans,PERSON,https://climate.nasa.gov/evidence/
S. Wijffels,PERSON,https://climate.nasa.gov/evidence/
07 September 2020,DATE,https://climate.nasa.gov/evidence/
2013-2041,DATE,https://climate.nasa.gov/evidence/
I. Velicogna,PERSON,https://climate.nasa.gov/evidence/
Yara Mohajerani,PERSON,https://climate.nasa.gov/evidence/
A. Geruo,PERSON,https://climate.nasa.gov/evidence/
F. Landerer,PERSON,https://climate.nasa.gov/evidence/
J. Mouginot,PERSON,https://climate.nasa.gov/evidence/
B. Noel,PERSON,https://climate.nasa.gov/evidence/
E. Rignot,PERSON,https://climate.nasa.gov/evidence/
T. Sutterly,PERSON,https://climate.nasa.gov/evidence/
M. van den Broeke,PERSON,https://climate.nasa.gov/evidence/
M. Wessem,PERSON,https://climate.nasa.gov/evidence/
D. Wiese,PERSON,https://climate.nasa.gov/evidence/
Greenland,GPE,https://climate.nasa.gov/evidence/
28 April 2020,DATE,https://climate.nasa.gov/evidence/
National Snow and Ice Data Center,ORG,https://climate.nasa.gov/evidence/
World Glacier Monitoring Service,ORG,https://climate.nasa.gov/evidence/
National Snow and Ice Data Center,ORG,https://climate.nasa.gov/evidence/
D.A. Robinson,PERSON,https://climate.nasa.gov/evidence/
D. K. Hall,PERSON,https://climate.nasa.gov/evidence/
T. L. Mote,PERSON,https://climate.nasa.gov/evidence/
2017,DATE,https://climate.nasa.gov/evidence/
Boulder,GPE,https://climate.nasa.gov/evidence/
Colorado,GPE,https://climate.nasa.gov/evidence/
USA,GPE,https://climate.nasa.gov/evidence/
NASA National Snow and Ice Data Center,ORG,https://climate.nasa.gov/evidence/
Rutgers University Global Snow Lab,ORG,https://climate.nasa.gov/evidence/
R.S. Nerem,PERSON,https://climate.nasa.gov/evidence/
B.D. Beckley,PERSON,https://climate.nasa.gov/evidence/
J. T. Fasullo,PERSON,https://climate.nasa.gov/evidence/
B.D. Hamlington,PERSON,https://climate.nasa.gov/evidence/
D. Masters,PERSON,https://climate.nasa.gov/evidence/
G.T. Mitchum,PERSON,https://climate.nasa.gov/evidence/
PNAS,ORG,https://climate.nasa.gov/evidence/
12 Feb. 2018,DATE,https://climate.nasa.gov/evidence/
2022-2025,DATE,https://climate.nasa.gov/evidence/
PIOMAS,ORG,https://climate.nasa.gov/evidence/
Zhang,PERSON,https://climate.nasa.gov/evidence/
Rothrock,PERSON,https://climate.nasa.gov/evidence/
2003,DATE,https://climate.nasa.gov/evidence/
USGCRP,ORG,https://climate.nasa.gov/evidence/
2017,DATE,https://climate.nasa.gov/evidence/
Wuebbles,PERSON,https://climate.nasa.gov/evidence/
D.J.,PERSON,https://climate.nasa.gov/evidence/
D.W. Fahey,PERSON,https://climate.nasa.gov/evidence/
K.A. Hibbard,PERSON,https://climate.nasa.gov/evidence/
D.J. Dokken,PERSON,https://climate.nasa.gov/evidence/
B.C. Stewart,PERSON,https://climate.nasa.gov/evidence/
T.K. Maycock,PERSON,https://climate.nasa.gov/evidence/
U.S. Global Change Research Program,ORG,https://climate.nasa.gov/evidence/
"Washington, DC",GPE,https://climate.nasa.gov/evidence/
USA,GPE,https://climate.nasa.gov/evidence/
C.L. Sabine,PERSON,https://climate.nasa.gov/evidence/
16 July 2004,DATE,https://climate.nasa.gov/evidence/
"June 14, 2019",DATE,https://climate.nasa.gov/evidence/
NPS,ORG,https://climate.nasa.gov/evidence/
Emily Mesner,PERSON,https://climate.nasa.gov/evidence/
Ashwin Kumar,PERSON,https://climate.nasa.gov/evidence/
